,width,longitude,type,average_people_value
265,55.732515500000005,37.61465645,apartments,500.0
266,55.73192455,37.6157336,apartments,500.0
267,55.7312885,37.63175915,apartments,500.0
268,55.730837949999994,37.63149865,apartments,500.0
269,55.73366085,37.6388064,apartments,500.0
270,55.746836599999995,37.63369045,apartments,500.0
271,55.747493250000005,37.63403965,office,1000.0
272,55.7598775,37.6402647,commercial,1000.0
273,55.7644669,37.644874599999994,office,1000.0
274,55.76234595,37.64463285,apartments,500.0
275,55.763324850000004,37.642912949999996,apartments,500.0
276,55.76265515,37.6444218,apartments,500.0
277,55.76263625,37.644822649999995,apartments,500.0
278,55.7625193,37.64476525,apartments,500.0
279,55.763187450000004,37.64408435,apartments,500.0
280,55.763900050000004,37.6447543,apartments,500.0
281,55.76344455,37.64518225,apartments,500.0
282,55.7364261,37.621781600000006,commercial,1000.0
283,55.744355600000006,37.6123389,apartments,500.0
284,55.76869365,37.64204875,commercial,1000.0
285,55.74678975,37.62661995,office,1000.0
286,55.747405,37.625356249999996,commercial,1000.0
287,55.771741399999996,37.60526625,commercial,1000.0
288,55.756249249999996,37.61326485,office,1000.0
289,55.748100199999996,37.622597,office,1000.0
290,55.7575864,37.637147150000004,apartments,500.0
291,55.735342599999996,37.642129350000005,office,1000.0
292,55.7595048,37.64479955,apartments,500.0
293,55.75994505,37.64442405,apartments,500.0
294,55.759301050000005,37.64338745,apartments,500.0
295,55.7596168,37.64220280000001,apartments,500.0
296,55.7605581,37.643085,apartments,500.0
297,55.760992599999994,37.642449049999996,apartments,500.0
298,55.7612513,37.642061,apartments,500.0
299,55.7616862,37.641472199999995,office,1000.0
300,55.76168165,37.6406219,office,1000.0
301,55.7616291,37.6428962,apartments,500.0
302,55.762241700000004,37.64213325,apartments,500.0
303,55.76228535,37.640136999999996,commercial,1000.0
304,55.7624784,37.63937365,commercial,1000.0
305,55.762583649999996,37.63964245,office,1000.0
306,55.7627745,37.639707200000004,commercial,1000.0
307,55.76309325,37.64026025,commercial,1000.0
308,55.7613543,37.6411455,office,1000.0
309,55.7624711,37.63854685,apartments,500.0
310,55.7639367,37.6385565,office,1000.0
311,55.763603849999996,37.6381174,office,1000.0
312,55.7638147,37.6383618,office,1000.0
313,55.7626568,37.637795600000004,office,1000.0
314,55.76265415,37.6370855,apartments,500.0
315,55.76183045,37.6386143,commercial,1000.0
317,55.7603648,37.639026,commercial,1000.0
318,55.761778,37.6390227,apartments,500.0
319,55.760969599999996,37.640642,commercial,1000.0
320,55.7685024,37.61438065,commercial,1000.0
321,55.764313400000006,37.64191085,apartments,500.0
322,55.7639607,37.6427683,apartments,500.0
323,55.7657022,37.64293345,apartments,500.0
324,55.76615795,37.644315899999995,apartments,500.0
325,55.76602575,37.64380275,apartments,500.0
326,55.73443615,37.5957243,apartments,500.0
327,55.73391755,37.59568555,apartments,500.0
328,55.75657365,37.6338592,commercial,1000.0
329,55.756349400000005,37.6346845,apartments,500.0
330,55.76026655,37.64131225,apartments,500.0
331,55.760692649999996,37.64081855,commercial,1000.0
332,55.759177550000004,37.639762250000004,office,1000.0
333,55.75353565,37.644841650000004,university,1000.0
334,55.75555225,37.64161245,commercial,1000.0
335,55.757991950000005,37.640982,apartments,500.0
336,55.75533575,37.64255915,commercial,1000.0
337,55.7602016,37.6317116,office,1000.0
338,55.7714967,37.6345386,apartments,500.0
339,55.7714043,37.634992600000004,apartments,500.0
340,55.74831455,37.639006800000004,commercial,1000.0
341,55.7484372,37.6380584,commercial,1000.0
342,55.7446247,37.59742285,apartments,500.0
343,55.7443638,37.59836565,commercial,1000.0
344,55.74025,37.59647315,office,1000.0
345,55.769642700000006,37.641022500000005,commercial,1000.0
346,55.76930685000001,37.64134295,commercial,1000.0
347,55.771141400000005,37.6335258,commercial,1000.0
348,55.771076750000006,37.63645925,apartments,500.0
349,55.7708463,37.63583785,apartments,500.0
350,55.7713588,37.635584300000005,apartments,500.0
351,55.77129135,37.63601835,apartments,500.0
352,55.76980855,37.6342104,office,1000.0
353,55.7697582,37.63391145,office,1000.0
354,55.76940405,37.63387045,apartments,500.0
355,55.7713631,37.6132824,apartments,500.0
356,55.77140825,37.612738050000004,apartments,500.0
357,55.7571348,37.6425687,commercial,1000.0
358,55.756760799999995,37.64518715,commercial,1000.0
359,55.75901855,37.6446504,commercial,1000.0
360,55.7580461,37.64428295,apartments,500.0
361,55.7577685,37.6432559,commercial,1000.0
362,55.757767900000005,37.64228855,apartments,500.0
363,55.757815550000004,37.6412434,commercial,1000.0
364,55.757905199999996,37.63963595,apartments,500.0
365,55.75375285,37.6430302,apartments,500.0
366,55.75379975,37.6426376,commercial,1000.0
367,55.7541009,37.642947050000004,commercial,1000.0
368,55.7532449,37.642512350000004,commercial,1000.0
369,55.753444099999996,37.6439732,commercial,1000.0
370,55.754059100000006,37.6424597,commercial,1000.0
371,55.7536997,37.64211545,apartments,500.0
372,55.7607693,37.61436075,apartments,500.0
373,55.737490449999996,37.62109115,university,1000.0
374,55.737209899999996,37.623562199999995,apartments,500.0
375,55.73622065,37.62301145,commercial,1000.0
376,55.73516165,37.62399625,office,1000.0
377,55.7368988,37.62256105,commercial,1000.0
378,55.7351396,37.622287299999996,office,1000.0
379,55.7351512,37.62278335,office,1000.0
380,55.734866,37.62819245,apartments,500.0
381,55.73474745,37.62866785,apartments,500.0
382,55.74038235,37.628805799999995,office,1000.0
383,55.73995295,37.6286841,office,1000.0
384,55.7642221,37.602520150000004,apartments,500.0
385,55.76887235,37.61415745,commercial,1000.0
386,55.7691047,37.61368845,apartments,500.0
387,55.7691363,37.61581055,apartments,500.0
388,55.76890055,37.614943600000004,commercial,1000.0
389,55.771050349999996,37.61310755,apartments,500.0
390,55.77000245,37.616472849999994,apartments,500.0
